trip_id,arrival_time,departure_time,stop_id,stop_sequence,shape_dist_traveled,stop_headsign,pickup_type,drop_off_type,timepoint
320372:423271:434656,16:15:00,16:15:00,1121,1,0,,0,0,1
320372:423271:434656,16:15:00,16:15:00,1189,2,400,,0,0,0
320372:423271:434656,16:16:00,16:16:00,1190,3,591,,0,0,0
320372:423271:434656,16:16:00,16:16:00,1439,4,797,,0,0,0
320372:423271:434656,16:17:00,16:17:00,1206,5,1085,,0,0,0
320372:423271:434656,16:18:00,16:18:00,1194,6,1286,,0,0,0
320372:423271:434656,16:18:00,16:18:00,1195,7,1478,,0,0,0
320372:423271:434656,16:20:00,16:20:00,1207,8,1740,,0,0,1
320372:423271:434656,16:20:00,16:20:00,1208,9,1995,,0,0,0
320372:423271:434656,16:20:00,16:20:00,1209,10,2159,,0,0,0
320372:423271:434656,16:21:00,16:21:00,1864,11,2563,,0,0,0
320372:423271:434656,16:22:00,16:22:00,1865,12,2789,,0,0,0
320372:423271:434656,16:22:00,16:22:00,1866,13,3194,,0,0,0
320372:423271:434656,16:23:00,16:23:00,1220,14,3489,,0,0,0
320372:423271:434656,16:26:00,16:30:00,1222,15,4361,,0,0,1
320372:423271:434656,16:30:00,16:30:00,1223,16,4503,,0,0,0
320372:423271:434656,16:31:00,16:31:00,1224,17,5022,,0,0,0
320372:423271:434656,16:32:00,16:32:00,1867,18,5378,,0,0,0
320372:423271:434656,16:33:00,16:33:00,1226,19,5778,,0,0,0
320372:423271:434656,16:34:00,16:34:00,1227,20,6237,,0,0,0
320372:423271:434656,16:35:00,16:35:00,1228,21,6846,,0,0,0
320372:423271:434656,16:36:00,16:36:00,1229,22,7177,,0,0,0
320372:423271:434656,16:37:00,16:37:00,1230,23,7668,,0,0,0
320372:423271:434656,16:40:00,16:40:00,1231,24,8266,,0,0,1
318616:423277:434785,21:23:00,21:23:00,1390,1,0,,0,0,1
318616:423277:434785,21:23:00,21:23:00,1391,2,206,,0,0,0
318616:423277:434785,21:23:00,21:23:00,1392,3,442,,0,0,0
318616:423277:434785,21:24:00,21:24:00,1393,4,1025,,0,0,0
318616:423277:434785,21:24:00,21:24:00,1394,5,1218,,0,0,0
318616:423277:434785,21:25:00,21:25:00,1396,6,1635,,0,0,0
318616:423277:434785,21:25:00,21:25:00,1397,7,1849,,0,0,0
318616:423277:434785,21:26:00,21:26:00,1398,8,2157,,0,0,0
318616:423277:434785,21:26:00,21:26:00,1399,9,2303,,0,0,0
318616:423277:434785,21:26:00,21:26:00,1400,10,2551,,0,0,0
318616:423277:434785,21:27:00,21:27:00,1401,11,2878,,0,0,0
318616:423277:434785,21:27:00,21:27:00,1402,12,3207,,0,0,0
318616:423277:434785,21:28:00,21:28:00,1422,13,3746,,0,0,0
318616:423277:434785,21:30:00,21:30:00,1423,14,3995,,0,0,1
318616:423277:434785,21:31:00,21:31:00,1425,15,4560,,0,0,0
318616:423277:434785,21:32:00,21:32:00,1426,16,4711,,0,0,1
318616:423277:434785,21:32:00,21:32:00,1428,17,5002,,0,0,0
318616:423277:434785,21:33:00,21:33:00,1429,18,5157,,0,0,0
318616:423277:434785,21:33:00,21:33:00,1430,19,5353,,0,0,0
318616:423277:434785,21:34:00,21:34:00,1431,20,5665,,0,0,0
318616:423277:434785,21:34:00,21:34:00,1432,21,5802,,0,0,0
318616:423277:434785,21:35:00,21:35:00,1433,22,5926,,0,0,0
318616:423277:434785,21:35:00,21:35:00,1434,23,6106,,0,0,0
318616:423277:434785,21:36:00,21:36:00,1435,24,6355,,0,0,0
318616:423277:434785,21:36:00,21:36:00,1436,25,6574,,0,0,0
318616:423277:434785,21:37:00,21:37:00,1437,26,6889,,0,0,0
318616:423277:434785,21:38:00,21:38:00,1438,27,7210,,0,0,0
318616:423277:434785,21:39:00,21:39:00,1818,28,7624,,0,0,0
318616:423277:434785,21:42:00,21:42:00,1121,29,7954,,0,0,1
319841:423278:434657,06:45:00,06:45:00,1231,1,0,,0,0,1
319841:423278:434657,06:46:00,06:46:00,1232,2,517,,0,0,0
319841:423278:434657,06:47:00,06:47:00,1233,3,1078,,0,0,0
319841:423278:434657,06:47:00,06:47:00,1234,4,1321,,0,0,0
319841:423278:434657,06:48:00,06:48:00,1235,5,1536,,0,0,0
319841:423278:434657,06:48:00,06:48:00,1236,6,1762,,0,0,0
319841:423278:434657,06:48:00,06:48:00,1237,7,1922,,0,0,0
319841:423278:434657,06:49:00,06:49:00,1238,8,2063,,0,0,0
319841:423278:434657,06:49:00,06:49:00,1239,9,2316,,0,0,0
319841:423278:434657,06:50:00,06:50:00,1241,10,2666,,0,0,0
319841:423278:434657,06:50:00,06:50:00,1259,11,2837,,0,0,0
319841:423278:434657,06:52:00,06:52:00,1260,12,3029,,0,0,1
319841:423278:434657,06:52:00,06:52:00,1261,13,3314,,0,0,0
319841:423278:434657,06:53:00,06:53:00,1262,14,3620,,0,0,0
319841:423278:434657,06:54:00,06:54:00,1263,15,3946,,0,0,0
319841:423278:434657,06:54:00,06:54:00,1264,16,4076,,0,0,0
319841:423278:434657,06:55:00,06:55:00,1265,17,4270,,0,0,0
319841:423278:434657,06:55:00,06:55:00,1266,18,4595,,0,0,0
319841:423278:434657,06:56:00,06:56:00,1267,19,4952,,0,0,0
319841:423278:434657,06:57:00,06:57:00,1268,20,5232,,0,0,0
319841:423278:434657,06:59:00,06:59:00,1269,21,5375,,0,0,1
320616:423282:434783,13:56:00,13:56:00,1522,1,0,,0,0,1
320616:423282:434783,14:01:00,14:01:00,1525,2,2606,,0,0,0
320616:423282:434783,14:02:00,14:02:00,1526,3,2852,,0,0,0
320616:423282:434783,14:02:00,14:02:00,1527,4,3149,,0,0,0
320616:423282:434783,14:03:00,14:03:00,1528,5,3320,,0,0,0
320616:423282:434783,14:03:00,14:03:00,1530,6,3660,,0,0,0
320616:423282:434783,14:06:00,14:06:00,1531,7,3974,,0,0,1
320616:423282:434783,14:06:00,14:06:00,1533,8,4293,,0,0,0
320616:423282:434783,14:07:00,14:07:00,1535,9,4762,,0,0,0
320616:423282:434783,14:08:00,14:08:00,1536,10,5228,,0,0,0
320616:423282:434783,14:09:00,14:09:00,1537,11,5550,,0,0,0
320616:423282:434783,14:10:00,14:10:00,1091,12,6024,,0,0,0
320616:423282:434783,14:12:00,14:12:00,1019,13,6424,,0,0,1
318496:423289:434752,19:52:00,19:52:00,1423,1,0,,0,0,1
318496:423289:434752,19:53:00,19:53:00,1405,2,594,,0,0,0
318496:423289:434752,19:53:00,19:53:00,1406,3,812,,0,0,0
318496:423289:434752,19:54:00,19:54:00,1407,4,986,,0,0,0
318496:423289:434752,19:54:00,19:54:00,1408,5,1208,,0,0,0
318496:423289:434752,19:56:00,19:56:00,1451,6,1960,,0,0,0
318496:423289:434752,19:56:00,19:56:00,1452,7,2161,,0,0,0
318496:423289:434752,19:57:00,19:57:00,1453,8,2433,,0,0,0
318496:423289:434752,19:59:00,19:59:00,1454,9,2741,,0,0,1
318496:423289:434752,19:59:00,19:59:00,1455,10,3135,,0,0,0
318496:423289:434752,20:00:00,20:00:00,1456,11,3365,,0,0,0
318496:423289:434752,20:00:00,20:00:00,1457,12,3779,,0,0,0
318496:423289:434752,20:01:00,20:01:00,1458,13,4050,,0,0,0
318496:423289:434752,20:01:00,20:01:00,1459,14,4381,,0,0,0
318496:423289:434752,20:02:00,20:02:00,1304,15,4817,,0,0,0
318496:423289:434752,20:02:00,20:02:00,1305,16,4999,,0,0,0
318496:423289:434752,20:04:00,20:04:00,1306,17,5241,,0,0,1
318496:423289:434752,20:04:00,20:04:00,1307,18,5416,,0,0,0
318496:423289:434752,20:04:00,20:04:00,1308,19,5617,,0,0,0
318496:423289:434752,20:05:00,20:05:00,1309,20,5839,,0,0,0
318496:423289:434752,20:05:00,20:05:00,1310,21,6028,,0,0,0
318496:423289:434752,20:05:00,20:05:00,1857,22,6222,,0,0,0
