stop_id,stop_name,stop_lat,stop_lon,wheelchair_boarding,stop_code
1000,Ft. Wm. Rd. & Transit Office,48.417,-89.23603,1,1000
1002,Ft. Wm. Rd. & Central,48.41436,-89.23756,1,1002
1003,Ft. Wm. Rd. & Walmart,48.41214,-89.23867,1,1003
1004,Ft. Wm. Rd. & Harbour Expy,48.40782,-89.2405,1,1004
1005,Ft. Wm. Rd. & Intercity,48.40517,-89.24163,1,1005
1006,Intercity Shopping Centre,48.40349,-89.2433,1,1006
1007,Ft. Wm. Rd. & Northern,48.39991,-89.24102,1,1007
1008,Simpson & Southern,48.39787,-89.23916,1,1008
1009,Simpson & Assef Ct.,48.39706,-89.23852,1,1009
1010,Simpson & Pacific,48.39507,-89.23695,1,1010
1011,Simpson & Rowand,48.39362,-89.23579,1,1011
1012,Simpson & Ogden,48.39148,-89.23687,1,1012
1013,Simpson & Finlayson,48.39036,-89.2378,1,1013
1014,Simpson & Dease,48.38845,-89.23938,1,1014
1015,Simpson & Bethune,48.38689,-89.24067,1,1015
1019,City Hall Terminal,48.38247,-89.24602,1,1019
1021,Donald & Cent. Sq.,48.38256,-89.24942,1,1021
1022,Vickers & Victoria,48.38326,-89.25101,1,1022
1023,Victoria & Marks,48.38421,-89.25373,1,1023
1024,Court & River,48.44088,-89.21656,1,1024
1026,Franklin & Arthur,48.38123,-89.25678,1,1026
1027,Franklin & Isabella,48.37781,-89.25672,0,1027
1028,Franklin & Moodie,48.37615,-89.25672,0,1028
1029,Walsh & Franklin,48.37441,-89.25764,1,1029
1030,Walsh & St. Pats,48.37441,-89.25984,1,1030
1031,Sprague & Empire,48.37181,-89.26151,1,1031
1034,Sprague & Brock,48.36875,-89.26153,1,1034
1035,Brock & 300s Block,48.36842,-89.26436,0,1035
1036,Brock & Tarbutt,48.3684,-89.26763,0,1036
1037,Brock & 200s Block,48.36842,-89.26991,0,1037
1038,Ford & Brock,48.36803,-89.27294,0,1038
1039,Ford & Frederica,48.36565,-89.27293,1,1039
1040,Frederica & Ford,48.36515,-89.27391,1,1040
1041,Frederica & 100s Block,48.36516,-89.27557,1,1041
1042,Frederica & Edward,48.36516,-89.27816,1,1042
1043,Frederica & Brown,48.36516,-89.28197,1,1043
1044,Frederica & 200s Block,48.36515,-89.28366,0,1044
1045,Frederica & Heath,48.36516,-89.28573,1,1045
1046,Frederica at James,48.36515,-89.28841,1,1046
1047,Frederica & Centre,48.36515,-89.29217,1,1047
1048,Frederica & Mountdale,48.36515,-89.29491,1,1048
1049,Frederica & Crawford,48.36513,-89.2981,1,1049
1050,Frederica & Stanley,48.36515,-89.30028,1,1050
1051,Frederica & Georgina,48.36515,-89.3021,0,1051
1052,Frederica & Alpine,48.36515,-89.30488,1,1052
1053,Neebing & Francis,48.36697,-89.30598,0,1053
1054,Mary & Neebing,48.36934,-89.30546,1,1054
1055,Mary & Holt,48.36936,-89.3036,1,1055
1056,Mary & Georgina,48.36937,-89.30129,1,1056
1057,Mary & Nipigon,48.36936,-89.29934,1,1057
1058,Mary & Home,48.36936,-89.29653,1,1058
1059,Mary & Broadmore,48.3694,-89.29385,1,1059
1060,Mary & Euclid,48.36941,-89.29065,1,1060
1061,Mary & Yonge,48.36939,-89.2881,1,1061
1062,Mary & Heath,48.36939,-89.28547,1,1062
1063,Mary & Brown,48.36939,-89.28187,1,1063
1065,Brown & Francis,48.36741,-89.28161,0,1065
1066,Brown & Frederica,48.36594,-89.2816,0,1066
1067,Frederica & Brown,48.36506,-89.281,1,1067
1068,Frederica & Edward,48.36507,-89.27824,1,1068
1069,Frederica & 100s Block,48.36506,-89.27599,1,1069
1070,Ford & Frederica,48.36542,-89.27278,1,1070
1071,Ford & Francis,48.36806,-89.27278,1,1071
1073,Brock & 200s Block,48.36831,-89.26988,0,1073
1074,Brock & Tarbutt,48.36831,-89.26742,0,1074
1075,Brock & 300s Block,48.36831,-89.26401,0,1075
1076,Brock & Sprague,48.36833,-89.26224,0,1076
1077,Sprague & Brock,48.36882,-89.26138,1,1077
1079,Sprague & Empire,48.37147,-89.26137,1,1079
1080,Sprague & Walsh,48.37389,-89.26136,1,1080
1081,Walsh & Selkirk,48.37432,-89.25922,1,1081
1083,Franklin & Moodie,48.37582,-89.25656,1,1083
1084,Franklin & Isabella,48.37725,-89.25656,1,1084
1085,Franklin & Ridgeway,48.37905,-89.25656,0,1085
1086,Franklin & Arthur,48.38052,-89.25658,1,1086
1087,Franklin & Donald,48.38228,-89.25658,1,1087
1089,Victoria & Marks,48.3841,-89.25417,1,1089
1090,Vickers & Victoria,48.38359,-89.25119,1,1090
1091,Arthur & McKellar,48.38084,-89.2499,1,1091
1093,Simpson & Miles,48.38513,-89.24194,1,1093
1094,Simpson & Bethune,48.38701,-89.2404,1,1094
1095,Simpson & Dease,48.38852,-89.23912,1,1095
1096,Simpson & Finlayson,48.39002,-89.23789,1,1096
1097,Simpson & Ogden,48.3919,-89.23635,1,1097
1098,Simpson & Rowand,48.39378,-89.23574,1,1098
1099,Simpson & Pacific,48.39513,-89.23683,1,1099
1100,Simpson & Atlantic,48.39607,-89.23757,1,1100
1101,Simpson & Southern,48.39733,-89.23858,1,1101
1102,Ft. Wm. Rd. & Isabel,48.40027,-89.24111,1,1102
1103,Intercity Shopping Centre,48.40347,-89.24302,1,1103
1104,Ft. Wm. Rd. & Intercity,48.40477,-89.24145,1,1104
1105,Ft. Wm. Rd. & Main,48.40573,-89.24104,1,1105
1106,Ft. Wm. Rd. & Mooney,48.40814,-89.24009,1,1106
1108,Ft. Wm. Rd. & Central,48.41367,-89.23756,1,1108
1112,Ft. Wm. Rd. & Spofford,48.42202,-89.2331,1,1112
1113,Ft. Wm. Rd. & Court,48.42442,-89.23308,0,1113
1114,Court & Wholesale Club,48.42614,-89.23202,0,1114
1115,Court & John,48.42798,-89.22994,1,1115
1116,Court & Cornwall,48.42979,-89.22809,1,1116
1117,Bay & Johnson,48.43057,-89.22677,1,1117
1118,Cumberland & Water,48.43121,-89.22304,1,1118
1119,Cumberland & Pearl,48.43266,-89.22154,1,1119
1120,Cumberland & Red River,48.43452,-89.21959,1,1120
1121,Waterfront Terminal,48.43568,-89.21703,1,1121
1122,Cumberland & Villa,48.43834,-89.21562,1,1122
1123,Cumberland & St. James,48.44139,-89.21189,1,1123
1124,Cumberland & Van Horne,48.44213,-89.21052,1,1124
1125,Cumberland & Angus,48.44348,-89.20792,1,1125
1126,Cumberland & Egan,48.44469,-89.20567,1,1126
1127,Cumberland & Fitzgerald,48.44559,-89.20395,0,1127
1128,Clavet & Cumberland,48.44741,-89.20199,0,1128
1130,Clavet & Algoma,48.44975,-89.20486,0,1130
1131,Algoma & Dawson Court,48.45173,-89.20272,1,1131
1132,Algoma & MacDougall,48.45299,-89.20035,1,1132
1133,MacDougall & Algoma,48.45245,-89.19929,0,1133
1135,MacDougall & Cumberland,48.45012,-89.19651,1,1135
1136,Cumberland & Gibson,48.45129,-89.19317,1,1136
1137,Cumberland & Parks North,48.45274,-89.19042,0,1137
1138,Hodder & Grenville,48.45577,-89.18468,1,1138
1139,Hodder & Cuyler,48.45881,-89.18219,1,1139
1140,Hodder & Merrill,48.46128,-89.18217,1,1140
1141,Hodder & Morse,48.46265,-89.18217,1,1141
1142,Hodder & Lillian,48.46458,-89.18216,1,1142
1143,Hodder & Surrey,48.46649,-89.18214,1,1143
1144,Hodder & Arundel,48.4686,-89.1821,1,1144
1146,Hodder & Elliot,48.47192,-89.18205,0,1146
1147,Hodder & Black Bay,48.47422,-89.18202,0,1147
1148,Hodder & Rona,48.47627,-89.182,0,1148
1150,Cowan & Hodder,48.47868,-89.18251,0,1150
1152,Leslie & Rona,48.47696,-89.18518,0,1152
1153,Leslie & Black Bay,48.47392,-89.1852,0,1153
1154,Black Bay & Grenville,48.47349,-89.18764,0,1154
1155,Black Bay & Dewe,48.47294,-89.1904,0,1155
1157,Dewe & 500s Block,48.47059,-89.19076,0,1157
1158,Dewe & Arundel,48.46913,-89.19076,0,1158
1159,Arundel & Grenville,48.46886,-89.18809,1,1159
1160,Leslie & Arundel,48.46845,-89.18512,1,1160
1161,Leslie & Conyers,48.46726,-89.1851,1,1161
1162,Leslie & Talbot,48.46561,-89.18508,0,1162
1163,Lillian & Leslie,48.46441,-89.18591,1,1163
1165,Greville & Rita,48.46384,-89.18776,1,1165
1166,Grenville & Morse,48.46238,-89.18771,1,1166
1167,Grenville & Marion,48.4611,-89.18771,1,1167
1168,Grenville & Adams,48.45962,-89.18766,1,1168
1169,Grenville & Roberta,48.45835,-89.18766,1,1169
1170,Grenville & Adelaide,48.45714,-89.1873,1,1170
1171,Cumberland & Grenville,48.4551,-89.18618,1,1171
1172,Cumberland & Gibson,48.45131,-89.19342,0,1172
1173,Cumberland & Beck,48.45053,-89.19483,0,1173
1174,Cumberland & MacDougall,48.44972,-89.19652,0,1174
1180,Clavet & Cumberland,48.44713,-89.20183,1,1180
1181,Cumberland & Munro,48.44618,-89.2031,0,1181
1182,Cumberland & Egan,48.44487,-89.20558,1,1182
1183,Cumberland & Angus,48.44358,-89.20802,1,1183
1184,Cumberland & Van Horne,48.44275,-89.20957,1,1184
1185,Cumberland & Wolseley,48.44163,-89.2117,1,1185
1186,Cumberland & Elgin,48.44018,-89.21411,1,1186
1187,Cumberland & Villa,48.4383,-89.21586,1,1187
1189,Cumberland & Red River,48.43447,-89.21986,1,1189
1190,Cumberland & Pearl,48.43301,-89.22133,1,1190
1191,Cumberland & Wilson,48.43199,-89.22241,1,1191
1192,Cumberland & Water,48.43085,-89.22361,1,1192
1193,Bay & Johnson,48.43037,-89.22607,1,1193
1194,Court & Bay,48.43043,-89.22764,1,1194
1195,Court & Cornwall,48.42895,-89.22911,1,1195
1196,Court & Queen,48.42719,-89.23099,0,1196
1197,Ft. Wm. Rd. & Wholesale Club,48.42605,-89.23233,0,1197
1198,Ft. Wm. Rd. & Lisgar,48.42383,-89.23322,0,1198
1200,Ft. Wm. Rd. & Water,48.42161,-89.23305,1,1200
1201,Ft. Wm. Rd. & Second,48.41945,-89.23429,1,1201
1202,Camelot & Court,48.43735,-89.21906,1,1202
1206,Court & Manitou,48.43185,-89.22617,1,1206
1207,John & Machar,48.42787,-89.23146,1,1207
1208,John & Secord,48.42876,-89.23477,1,1208
1209,John & Banning,48.42921,-89.23678,1,1209
1210,High & Queen,48.42717,-89.23844,1,1210
1212,Canada Games Complex,48.42359,-89.24087,1,1212
1213,Community Auditorium,48.42194,-89.2409,1,1213
1214,Beverly & Newton,48.42136,-89.24328,1,1214
1216,Beverly & Ravenwood,48.42095,-89.24657,1,1216
1220,Oliver & Balmoral,48.42592,-89.25401,0,1220
1222,Lakehead University,48.42144,-89.26211,1,1222
1223,Nursing Building,48.42241,-89.26086,1,1223
1224,Oliver & Keith Jobbitt,48.42229,-89.26633,1,1224
1225,Thunder Bay Regional Hospital,48.42608,-89.27035,1,1225
1226,Golf Links & Oliver,48.41955,-89.27459,1,1226
1227,Golf Links & Medical Clinic,48.41534,-89.27459,0,1227
1228,Golf Links & Ridgecrest,48.40999,-89.27462,0,1228
1229,Golf Links & Innovation,48.40711,-89.27466,0,1229
1230,Golf Links & Fanshaw,48.40291,-89.27464,1,1230
1231,Confederation College,48.40297,-89.26967,1,1231
1232,Sibley Residence,48.39994,-89.26883,1,1232
1233,Edward & James,48.39863,-89.2747,1,1233
1234,Edward & Ironwood,48.39658,-89.27548,1,1234
1235,Edward & Redwood,48.39495,-89.27702,1,1235
1236,Northwood Park Plaza,48.39316,-89.27841,1,1236
1237,Edward & Ward,48.39175,-89.27868,0,1237
1238,Edward & Churchill,48.39052,-89.27868,0,1238
1239,Edward & Parkway,48.38852,-89.27874,1,1239
1241,Edward & Miles,48.38537,-89.2787,0,1241
1242,Victoria & Maplewood,48.38405,-89.27754,1,1242
1244,Victoria & Ford,48.38407,-89.27232,1,1244
1245,Victoria & Lillie,48.38405,-89.26998,1,1245
1246,Victoria & Hyde Park,48.38406,-89.26556,0,1246
1247,Victoria & Wellington,48.38405,-89.26149,0,1247
1248,Victoria & Selkirk,48.38404,-89.25864,0,1248
1250,Victoria & Franklin,48.38418,-89.25713,1,1250
1252,Victoria & Waterloo,48.3842,-89.26167,1,1252
1253,Victoria & Friendship Gardens,48.38425,-89.26587,1,1253
1255,Victoria & Lillie,48.38419,-89.27001,1,1255
1256,Victoria & Ford,48.38422,-89.27315,0,1256
1258,Victoria & Maplewood,48.38419,-89.27712,0,1258
1259,Edward & Victoria,48.38387,-89.27868,1,1259
1260,Edward & Donald,48.38216,-89.27865,1,1260
1261,Edward & Begin,48.37957,-89.27865,0,1261
1262,Edward & Isabella,48.37684,-89.27865,1,1262
1263,Edward & Walsh,48.3739,-89.27862,1,1263
1264,Edward & Gordon,48.37271,-89.27865,1,1264
1265,Edward & Christina,48.37097,-89.27862,1,1265
1266,Edward & Brock,48.36809,-89.2786,1,1266
1267,Edward & Frederica,48.36483,-89.27863,0,1267
1268,Gore & Brown,48.36406,-89.28133,0,1268
1269,Brown & Frederica,48.36553,-89.28151,1,1269
1270,Brown & Francis,48.36716,-89.28151,1,1270
1271,Brock & Brown,48.36834,-89.28113,1,1271
1272,Edward & Brock,48.36874,-89.27848,1,1272
1273,Edward & Christina,48.37039,-89.27845,1,1273
1274,Edward & Gordon,48.37244,-89.27849,1,1274
1275,Edward & Walsh,48.37472,-89.27847,1,1275
1276,Edward & Isabella,48.37786,-89.27853,1,1276
1277,Edward & Arthur,48.38034,-89.2785,1,1277
1278,Edward & Donald,48.38269,-89.27851,1,1278
