route_id,service_id,trip_id,trip_headsign,shape_id,block_id
2,1047,320372:423271:434656,CROSSTOWN to Westfort,3597,434656
3C,1048,318616:423277:434785,COUNTY PARK to Northwood,3576,434785
5,1046,319841:423278:434657,EDWARD to Westfort,3543,434657
14,1047,320616:423282:434783,ARTHUR to Jumbo Gardens,3539,434783
13,1048,318496:423289:434752,JOHN-JUMBO to Waterfront,3588,434752
18,1046,320200:423297:434730,WESTFORT to City Hall,3546,434730
7,1046,319423:423300:434690,HUDSON to Waterfront,3582,434690
15,1046,319151:423303:434742,BEVERLY to University,3578,434742
2,1048,318834:423313:434687,CROSSTOWN to Westfort,3597,434687
14,1046,319943:423326:434768,ARTHUR to Airport,3545,434768
5,1046,319817:423327:434657,EDWARD to Westfort,3543,434657
5,1047,320709:423329:434735,EDWARD to Westfort,3543,434735
5,1047,320708:423330:434716,EDWARD to Westfort,3543,434716
15,1047,320319:423331:434774,BEVERLY to University,3608,434774
5,1046,319819:423333:434789,EDWARD to Westfort,3543,434789
15,1048,318466:423345:434681,BEVERLY to University,3608,434681
15,1047,320316:423346:434740,BEVERLY to University,3608,434740
15,1047,320311:423348:434740,BEVERLY to University,3608,434740
5,1046,319811:423352:434657,EDWARD to Westfort,3543,434657
18,1047,321255:423358:434732,WESTFORT to City Hall,3546,434732
7,1048,318865:423362:434699,HUDSON to Waterfront,3582,434699
14,1046,319951:423363:434769,ARTHUR to City Hall,3541,434769
14,1046,319910:423364:434680,ARTHUR to Jumbo Gardens,3539,434680
7,1047,320933:423367:434737,HUDSON to Waterfront,3582,434737
15,1047,320296:423368:434740,BEVERLY to University,3578,434740
15,1048,318475:423369:434755,BEVERLY to University,3578,434755
14,1046,319934:423372:434734,ARTHUR to Airport,3545,434734
2,1046,319182:423373:434686,CROSSTOWN to Waterfront,3604,434686
14,1046,319920:423374:434680,ARTHUR to Jumbo Gardens,3539,434680
2,1046,319183:423383:434789,CROSSTOWN to Waterfront,3604,434789
7,1048,318861:423384:434699,HUDSON to Waterfront,3582,434699
18,1047,321239:423391:434765,WESTFORT to Mary,3509,434765
14,1047,320634:423392:434673,ARTHUR to Airport,3545,434673
5,1046,319818:423395:434686,EDWARD to Westfort,3543,434686
5,1046,319809:423401:434686,EDWARD to Westfort,3543,434686
5,1047,320735:423410:434656,EDWARD to Waterfront,3555,434656
5,1047,320731:423411:434716,EDWARD to Westfort,3543,434716
7,1048,318869:423418:434699,HUDSON to Waterfront,3582,434699
14,1047,320626:423423:434783,ARTHUR to City Hall,3541,434783
18,1047,321265:423432:434765,WESTFORT to City Hall,3546,434765
5,1046,319812:423433:434686,EDWARD to Westfort,3543,434686
2,1046,319177:423436:434789,CROSSTOWN to Waterfront,3604,434789
7,1046,319479:423443:434690,HUDSON to Waterfront,3582,434690
14,1048,318582:423444:434723,ARTHUR to Airport,3545,434723
2,1046,319222:423457:434657,CROSSTOWN to Waterfront,3604,434657
18,1047,321280:423458:434765,WESTFORT to City Hall,3546,434765
5,1048,318646:423470:434692,EDWARD to Westfort,3543,434692
5,1047,320717:423472:434716,EDWARD to Westfort,3543,434716
15,1046,319154:423475:434742,BEVERLY to University,3578,434742
7,1046,319461:423477:434775,HUDSON to Waterfront,3582,434775
18,1047,321278:423488:434786,WESTFORT to City Hall,3546,434786
14,1046,319949:423502:434769,ARTHUR to Airport,3545,434769
14,1047,320663:423504:434738,ARTHUR to City Hall,3541,434738
18,1046,320156:423516:434654,WESTFORT to Mary,3509,434654
10,1047,320560:423518:434666,NORTHWOOD to County Park,3544,434666
13,1047,320450:423524:434737,JOHN-JUMBO to Waterfront,3588,434737
3C,1047,320853:423527:434783,COUNTY PARK to Castlegreen Dr,3605,434783
7,1046,319477:423530:434690,HUDSON to Waterfront,3582,434690
2,1047,320354:423532:434656,CROSSTOWN to Westfort,3597,434656
7,1048,318864:423533:434752,HUDSON to Waterfront,3582,434752
18,1047,321251:423535:434786,WESTFORT to Mary,3509,434786
14,1048,318577:423542:434663,ARTHUR to City Hall,3541,434663
14,1048,318594:423549:434663,ARTHUR to Airport,3545,434663
14,1046,319926:423553:434680,ARTHUR to Airport,3545,434680
14,1047,320659:423554:434691,ARTHUR to Airport,3545,434691
14,1048,318572:423556:434723,ARTHUR to City Hall,3541,434723
14,1046,319969:423561:434668,ARTHUR to Airport,3545,434668
18,1047,321279:423565:434765,WESTFORT to Mary,3509,434765
15,1048,318471:423574:434755,BEVERLY to University,3608,434755
2,1046,319203:423592:434789,CROSSTOWN to Waterfront,3604,434789
14,1047,320620:423601:434784,ARTHUR to Jumbo Gardens,3539,434784
14,1047,320636:423605:434673,ARTHUR to Airport,3545,434673
3C,1047,320856:423615:434783,COUNTY PARK to Castlegreen Dr,3605,434783
18,1046,320158:423620:434654,WESTFORT to Mary,3509,434654
7,1046,319457:423622:434775,HUDSON to Waterfront,3582,434775
7,1048,318866:423623:434752,HUDSON to Waterfront,3582,434752
5,1046,319843:423624:434789,EDWARD to Westfort,3543,434789
2,1047,320377:423625:434716,CROSSTOWN to Westfort,3597,434716
7,1047,320927:423626:434737,HUDSON to Waterfront,3582,434737
14,1047,320603:423627:434673,ARTHUR to City Hall,3541,434673
14,1047,320624:423630:434773,ARTHUR to Jumbo Gardens,3539,434773
14,1047,320629:423633:434738,ARTHUR to City Hall,3541,434738
15,1047,320310:423636:434770,BEVERLY to University,3608,434770
5,1046,319844:423655:434657,EDWARD to Westfort,3543,434657
7,1046,319418:423664:434775,HUDSON to Waterfront,3582,434775
3C,1048,318622:423666:434682,COUNTY PARK to Castlegreen Dr,3605,434682
7,1048,318863:423676:434699,HUDSON to Waterfront,3582,434699
5,1047,320737:423683:434656,EDWARD to Waterfront,3555,434656
14,1046,319935:423685:434769,ARTHUR to Airport,3545,434769
